"Артикул";"Ozon Product ID";"SKU";"Штрихкод (Серийный номер / EAN)";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Метки";"Отзывы";"Рейтинг";"Причины скрытия";"Дата создания";"Категория";"Тип";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Размер НДС, %";"Ошибки";"Предупреждения"
"433590Y21N 225/21 42";"1021917460";"1555588267";"04680654253678";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"6";"'4.90";;"2024-04-16 10:44:50";"Одежда";"Куртка";"'10.50";"'2.1";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/18 42";"1021917461";"1555588722";"04680654253548";"Куртка NortFolk хаки 42 42";"'69.5";"NortFolk";"Продается";;"4";"'4.90";;"2024-04-16 10:44:50";"Одежда";"Куртка";"'10.50";"'2.1";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 225/18 60";"1021917462";"1555588776";"04680654254231";"Куртка зимняя NortFolk большие размеры";"'69.5";"NortFolk";"Продается";;"5";"'4.90";;"2024-04-16 10:44:50";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 225/18 60";"1021917465";"1555588728";;"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:44:50";"Одежда";"Куртка";"'10.50";"'2.1";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N FS/18 50";"1021917468";"1555588636";"04680654253500";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"6";"'4.90";;"2024-04-16 10:44:50";"Одежда";"Куртка";"'10.50";"'2.1";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 99/18 44";"1021917469";"1555588724";"04660426875116";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"5";"'4.90";;"2024-04-16 10:44:51";"Одежда";"Куртка";"'10.50";"'2.1";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/21 54";"1021917470";"1555588253";"04680654253739";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"6";"'4.90";;"2024-04-16 10:44:51";"Одежда";"Куртка";"'10.50";"'2.1";"4";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 99/99 62";"1021917472";"1555588667";"04680654254064";"Куртка NortFolk черно-серый 62 62";"'69.5";"NortFolk";"Продается";;"6";"'4.90";;"2024-04-16 10:44:51";"Одежда";"Куртка";"'10.50";"'2.1";"7";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 225/21 48";"1021917473";"1555588162";"04680654253708";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"14";"'4.90";;"2024-04-16 10:44:51";"Одежда";"Куртка";"'10.50";"'2.1";"4";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 99/99 46";"1021917474";"1555588241";"04680654253265";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"16";"'4.90";;"2024-04-16 10:44:51";"Одежда";"Куртка";"'10.50";"'2.1";"1";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N FS/18 42";"1021917477";"1555588100";"04680654253654";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"3";"'4.90";;"2024-04-16 10:44:51";"Одежда";"Куртка";"'10.50";"'2.1";"1";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 18/18 44";"1021917479";"1555588587";"04680654253777";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"2";"'4.90";;"2024-04-16 10:44:51";"Одежда";"Куртка";"'10.50";"'2.1";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 99/99 68";"1021917483";"1555588820";"04680654254095";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"6";"'4.90";;"2024-04-16 10:44:52";"Одежда";"Куртка";"'12.60";"'2.5";"7";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 36/18 44";"1021917485";"1555141853";"04680654253883";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"1";"'4.90";;"2024-04-16 10:44:52";"Одежда";"Куртка";"'12.60";"'2.5";"1";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N FS/18 46";"1021917489";"1555588675";"04680654253487";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"5";"'4.90";;"2024-04-16 10:44:52";"Одежда";"Куртка";"'12.60";"'2.5";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 225/18 66";"1021917491";"1555588375";"04680654254262";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"3";"'4.90";;"2024-04-16 10:44:52";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 225/21 44";"1021917492";"1555588335";"04680654253685";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"7";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N FS/18 56";"1021917493";"1555588622";"04680654253531";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"7";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 99/99 64";"1021917494";"1555588612";"04680654254071";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"3";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"9";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 18/18 48";"1021917496";"1555588839";"04680654253791";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"0";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"1";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/18 44";"1021917499";"1555587999";"04680654253555";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"7";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 99/99 52";"1021917500";"1555588711";"04680654253296";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"17";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/18 50";"1021917501";"1555588830";"04680654253357";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"17";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 99/18 68";"1021917502";"1555588090";"04680654254217";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"5";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 99/18 42";"1021917507";"1555588760";"04660426875109";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"3";"'4.90";;"2024-04-16 10:44:53";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 99/99 42";"1021917510";"1555588201";"04680654253852";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"8";"'4.90";;"2024-04-16 10:44:54";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/18 48";"1021917513";"1555588255";"04680654253340";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"11";"'4.90";;"2024-04-16 10:44:54";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/21 50";"1021917514";"1555588822";"04680654253715";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"16";"'4.90";;"2024-04-16 10:44:54";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 99/99 70";"1021917517";"1555588411";"04680654254101";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"6";"'4.90";;"2024-04-16 10:44:54";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21NB 99/18 62";"1021917518";"1555588888";"04610279068838";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"3";"'4.90";;"2024-04-16 10:44:54";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 99/99 58";"1021917520";"1555588899";"04680654253326";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"10";"'4.90";;"2024-04-16 10:44:54";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 36/18 58";"1021917528";"1554629878";"04680351469211";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"3";"'4.90";;"2024-04-16 10:44:55";"Одежда";"Куртка";"'12.60";"'2.5";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 99/99 56";"1021917530";"1555588814";"04680654253319";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"10";"'4.90";;"2024-04-16 10:44:55";"Одежда";"Куртка";"'12.60";"'2.5";"3";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/21 56";"1021917531";"1555588692";"04680654253746";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"3";"'4.90";;"2024-04-16 10:44:55";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 99/99 48";"1021917535";"1555588596";"04670126878263";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"26";"'4.90";;"2024-04-16 10:44:55";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21NB 225/18 64";"1021917536";"1555588491";"04680654254255";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"6";"'4.90";;"2024-04-16 10:44:56";"Одежда";"Куртка";"'12.60";"'2.5";"4";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21NB 99/18 60";"1021917544";"1555588296";"04680654254170";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"4";"'4.90";;"2024-04-16 10:44:56";"Одежда";"Куртка";"'12.60";"'2.5";"2";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21NB 99/99 66";"1021917547";"1555588684";"04670126878577";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"12";"'4.90";;"2024-04-16 10:44:56";"Одежда";"Куртка";"'12.60";"'2.5";"6";"0";"0";"0";"0";"23990,00";"28900,00";;"5%";;
"433590Y21N 225/18 46";"1021917550";"1555587829";"04670126878171";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"8";"'4.90";;"2024-04-16 10:44:56";"Одежда";"Куртка";"'12.60";"'2.5";"5";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 36/18 48";"1021917552";"1555142024";"04680598787581";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"2";"'4.90";;"2024-04-16 10:44:56";"Одежда";"Куртка";"'12.60";"'2.5";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N FS/18 48";"1021917553";"1555588310";"04680654253494";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Готов к продаже";;"5";"'4.90";;"2024-04-16 10:44:56";"Одежда";"Куртка";"'12.60";"'2.5";"0";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"433590Y21N 225/21 46";"1021917593";"1555587923";"04680654253692";"Куртка зимняя женская NortFolk";"'69.5";"NortFolk";"Продается";;"9";"'4.90";;"2024-04-16 10:44:57";"Одежда";"Куртка";"'12.60";"'2.5";"6";"0";"0";"0";"0";"21990,00";"26900,00";;"5%";;
"621280N20N 009 58";"1021923367";"1555606785";"2085302850728";"Куртка NortFolk бордовый 58 58";"'54.5";"NortFolk";"Готов к продаже";;"2";"'5.00";;"2024-04-16 10:51:35";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 54";"1021923369";"1555606675";"04660426875697";"Куртка NortFolk черный 54 54";"'54.5";"NortFolk";"Готов к продаже";;"6";"'5.00";;"2024-04-16 10:51:35";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 44";"1021923392";"1555606792";;"Куртка NortFolk оливковый 44 44";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 48";"1021923393";"1555606860";"04660426875666";"Куртка NortFolk черный 48 48";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 50";"1021923396";"1555606574";"04660426875420";"Куртка NortFolk темно-синий 50 50";"'54.5";"NortFolk";"Готов к продаже";;"5";"'4.80";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 009 56";"1021923397";"1555606390";"2085302850711";"Куртка NortFolk бордовый 56 56";"'54.5";"NortFolk";"Готов к продаже";;"4";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 46";"1021923400";"1555606818";"04660426875659";"Куртка NortFolk черный 46 46";"'54.5";"NortFolk";"Готов к продаже";;"1";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 46";"1021923402";"1555606481";"04660426875734";"Куртка NortFolk оливковый 46 46";"'54.5";"NortFolk";"Готов к продаже";;"2";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 78 56";"1021923408";"1554643682";"04680351477001";"Куртка NortFolk сиреневый 56";"'54.5";"NortFolk";"Готов к продаже";;"5";"'4.90";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 56";"1021923410";"1555606868";"04660426875451";"Куртка NortFolk темно-синий 56 56";"'54.5";"NortFolk";"Готов к продаже";;"5";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 009 52";"1021923411";"1555606701";"2085302850698";"Куртка NortFolk бордовый 52 52";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 78 54";"1021923414";"1554643931";"04610279064267";"Куртка NortFolk сиреневый 54";"'54.5";"NortFolk";"Готов к продаже";;"4";"'4.90";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 009 48";"1021923415";"1555606416";"2085302850674";"Куртка NortFolk бордовый 48 48";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 44";"1021923416";"1555606576";;"Куртка NortFolk темно-синий 44 44";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 50";"1021923418";"1555606641";"04660426875758";"Куртка NortFolk оливковый 50 50";"'54.5";"NortFolk";"Готов к продаже";;"6";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 52";"1021923419";"1555606872";"04660426875604";"Куртка NortFolk хаки 52 52";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 78 48";"1021923421";"1554643523";"04680351476967";"Куртка NortFolk сиреневый 48";"'54.5";"NortFolk";"Готов к продаже";;"4";"'4.90";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 009 44";"1021923422";"1555606784";;"Куртка NortFolk бордовый 44 44";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 46";"1021923423";"1555606682";"04660426875574";"Куртка NortFolk хаки 46 46";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.70";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 56";"1021923425";"1555606384";"04660426875703";"Куртка NortFolk черный 56 56";"'54.5";"NortFolk";"Готов к продаже";;"2";"'5.00";;"2024-04-16 10:51:36";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 78 44";"1021923428";"1554643892";;"Куртка NortFolk сиреневый 44 44";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 009 54";"1021923429";"1555606352";"2085302850704";"Куртка NortFolk бордовый 54 54";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 50";"1021923434";"1555606884";"04660426875598";"Куртка NortFolk хаки 50 50";"'54.5";"NortFolk";"Готов к продаже";;"5";"'5.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 58";"1021923436";"1555606584";"04660426875635";"Куртка NortFolk хаки 58 58";"'54.5";"NortFolk";"Готов к продаже";;"3";"'4.60";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 56";"1021923437";"1555606740";"04660426875789";"Куртка NortFolk оливковый 56 56";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 009 50";"1021923438";"1555606793";"2085302850681";"Куртка NortFolk бордовый 50 50";"'54.5";"NortFolk";"Готов к продаже";;"2";"'5.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 52";"1021923439";"1555606863";"04660426875765";"Куртка NortFolk оливковый 52 52";"'54.5";"NortFolk";"Готов к продаже";;"6";"'5.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 78 58";"1021923442";"1554643824";"04610279064281";"Куртка NortFolk сиреневый 58";"'54.5";"NortFolk";"Готов к продаже";;"4";"'4.90";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 58";"1021923443";"1555606761";"04660426875710";"Куртка NortFolk черный 58 58";"'54.5";"NortFolk";"Готов к продаже";;"4";"'5.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 54";"1021923444";"1555606456";"04660426875611";"Куртка NortFolk хаки 54 54";"'54.5";"NortFolk";"Готов к продаже";;"4";"'4.70";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 46";"1021923445";"1555606658";"04660426875406";"Куртка NortFolk темно-синий 46 46";"'54.5";"NortFolk";"Готов к продаже";;"1";"'5.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 48";"1021923446";"1555606779";"04660426875413";"Куртка NortFolk темно-синий 48 48";"'54.5";"NortFolk";"Готов к продаже";;"4";"'5.00";;"2024-04-16 10:51:37";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 58";"1021923447";"1555606772";"04660426875468";"Куртка NortFolk темно-синий 58 58";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 44";"1021923449";"1555606478";;"Куртка NortFolk хаки 44 44";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 48";"1021923453";"1555606667";"04660426875581";"Куртка NortFolk хаки 48 48";"'69.5";"NortFolk";"Готов к продаже";;"1";"'5.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 52";"1021923455";"1555606764";"04660426875680";"Куртка NortFolk черный 52 52";"'54.5";"NortFolk";"Готов к продаже";;"4";"'5.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 44";"1021923458";"1555606548";;"Куртка NortFolk черный 44 44";"'54.5";"NortFolk";"Готов к продаже";;"0";"'0.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 54";"1021923459";"1555606939";"04660426875772";"Куртка NortFolk оливковый 54 54";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 48";"1021923460";"1555606571";"04660426875741";"Куртка NortFolk оливковый 48 48";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 78 52";"1021923462";"1554643632";"04680351476981";"Куртка NortFolk сиреневый 52";"'54.5";"NortFolk";"Готов к продаже";;"4";"'4.90";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 54";"1021923463";"1555606646";"04660426875444";"Куртка NortFolk темно-синий 54 54";"'54.5";"NortFolk";"Готов к продаже";;"2";"'5.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 25 58";"1021923464";"1555606788";"04660426875796";"Куртка NortFolk оливковый 58 58";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:38";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 225 56";"1021923466";"1555606610";"04660426875628";"Куртка NortFolk хаки 56 56";"'54.5";"NortFolk";"Готов к продаже";;"3";"'5.00";;"2024-04-16 10:51:39";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 78 50";"1021923471";"1554643888";"04680351476974";"Куртка NortFolk сиреневый 50";"'54.5";"NortFolk";"Готов к продаже";;"8";"'4.90";;"2024-04-16 10:51:39";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 100 50";"1021923472";"1555606664";"04660426875673";"Куртка NortFolk черный 50 50";"'54.5";"NortFolk";"Готов к продаже";;"4";"'5.00";;"2024-04-16 10:51:39";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 99 52";"1021923476";"1555606607";"04660426875437";"Куртка NortFolk темно-синий 52 52";"'54.5";"NortFolk";"Готов к продаже";;"4";"'4.70";;"2024-04-16 10:51:39";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
"621280N20N 009 46";"1021923477";"1555606577";"2085302850667";"Куртка NortFolk бордовый 46 46";"'54.5";"NortFolk";"Готов к продаже";;"4";"'5.00";;"2024-04-16 10:51:40";"Одежда";"Пальто";"'13.00";"'2.6";"0";"0";"0";"0";"0";"18500,00";"29500,00";;"5%";;
